노선번호,"?""사용년월""",표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
금천10,201602,117900085,18546,독산역,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,44,52,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20160308
금천10,201601,117900085,18546,독산역,0,0,0,0,0,0,0,0,0,0,26,22,64,3,120,26,583,38,194,23,38,15,37,13,31,21,38,21,23,19,9,9,4,2,31,2,26,16,4,0,0,0,22,32,2,0,0,0,20160208
금천10,201601,117000225,18688,교학사,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,119,6,115,1,77,0,3,0,3,2,3,0,0,2,2,1,0,3,3,55,4,130,1,25,0,0,0,1,0,0,0,0,0,20160208
금천10,201601,117000319,18995,LG전자,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,352,10,470,14,165,8,11,31,9,23,13,7,5,3,5,14,3,15,5,358,9,432,28,76,4,7,0,26,7,12,0,0,0,20160208
금천10,201601,117000317,18997,구로세관,0,0,0,0,0,0,0,0,0,0,1,2,6,8,105,148,134,1034,27,278,10,13,20,7,29,3,17,11,14,2,32,2,20,4,307,9,1073,30,205,5,9,1,28,2,18,0,0,0,20160208
금천10,201601,117900206,18986,신영와코루,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,7,139,1,13,0,4,2,2,0,3,1,2,1,1,1,3,4,1,18,20,5,23,3,2,0,0,0,0,0,1,0,0,20160208
금천10,201601,117900061,18581,STXV타워,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,129,10,386,4,100,3,20,0,33,0,31,0,10,0,11,0,26,3,24,14,194,11,299,0,72,0,11,0,23,0,20,0,0,20160208
금천10,201601,117900205,18957,가산디지털단지역,0,0,0,0,0,0,0,0,0,0,0,2,5,18,185,153,844,280,99,94,3,18,4,58,0,41,0,36,1,19,5,31,4,40,13,644,13,1471,13,306,2,9,2,46,0,32,0,0,20160208
금천10,201601,117900204,18956,디지털3단지한일합성,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,68,2,183,1,52,0,1,0,7,0,0,0,2,0,5,0,0,0,7,0,6,0,10,0,6,0,3,0,0,0,0,0,0,20160208
금천10,201601,117900203,18954,대성디폴리스,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,16,542,1,102,0,4,0,2,0,0,0,1,0,1,0,5,0,3,17,4,51,4,12,9,0,0,0,2,0,0,0,0,20160208
