노선번호,"?""사용년월""",표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
금천11-1,201608,117900193,18857,산기슭공원,0,1,0,0,0,0,0,0,1,1,3,0,14,0,61,2,26,3,43,3,29,0,11,0,24,5,20,7,12,2,23,0,40,3,20,3,60,8,22,3,4,1,18,0,6,1,10,2,20160908
금천11-1,201608,117900192,18972,한울중학교앞,0,0,0,0,0,0,0,0,0,0,8,0,37,0,228,1,149,1,132,0,144,1,101,3,97,0,139,1,96,6,197,3,158,2,174,1,105,7,79,1,84,0,119,2,42,0,35,2,20160908
금천11-1,201608,117900191,18973,한빛무궁화아파트,0,0,0,0,0,0,0,0,0,0,7,0,9,0,105,4,80,1,22,1,63,0,79,4,46,2,29,0,29,0,70,0,61,3,37,0,29,9,25,2,36,2,30,0,7,0,10,0,20160908
금천11-1,201608,117900190,18974,신흥초등학교,0,0,0,0,0,0,0,0,0,0,1,0,3,0,52,0,33,1,16,0,22,7,33,6,21,0,17,2,17,3,25,3,28,3,23,0,11,2,12,3,4,3,10,4,0,0,3,0,20160908
금천11-1,201608,117900194,18975,시흥아파트앞,0,0,0,0,0,0,0,0,0,0,2,0,2,1,11,3,39,4,3,0,16,10,13,6,5,5,3,5,9,4,12,12,8,14,5,2,2,8,3,3,6,2,7,4,1,0,0,2,20160908
금천11-1,201608,117900196,18976,삼성체육공원.삼성산자연공원,0,0,0,0,0,0,0,0,0,0,1,4,5,4,22,11,22,23,8,3,22,45,22,37,12,20,8,7,15,14,13,79,24,35,9,26,2,32,5,18,1,5,12,14,5,5,1,8,20160908
금천11-1,201608,117900207,18977,시흥5동주민센터,0,0,0,0,0,0,0,0,0,0,0,8,3,25,10,39,65,74,18,40,51,56,66,79,46,50,45,32,58,61,87,102,98,71,53,62,35,34,68,67,40,43,67,38,14,6,19,24,20160908
금천11-1,201608,117900189,18978,금광포란재.백운한비치아파트,0,0,0,0,0,0,0,0,0,0,4,7,8,2,25,5,62,22,13,5,26,21,15,25,20,12,16,9,28,15,24,12,31,14,22,26,17,3,31,11,13,8,20,23,9,7,5,1,20160908
금천11-1,201608,117900065,18573,우방아파트.범일운수종점,0,0,0,0,0,0,0,0,0,0,8,0,8,5,11,27,11,11,8,14,20,20,20,21,35,13,15,11,40,19,46,29,119,26,36,16,40,8,47,13,37,8,22,12,35,11,8,4,20160908
금천11-1,201608,117900124,18865,시흥2동주민센터.동일여고,0,0,0,0,0,0,0,0,0,0,1,0,19,10,19,59,25,10,9,7,15,8,41,10,28,10,10,2,46,11,59,16,123,29,38,7,34,9,60,6,36,8,28,2,46,4,3,0,20160908
금천11-1,201608,117900060,18583,벽산아파트5단지,0,0,0,0,0,0,0,0,0,0,1,0,0,2,20,34,47,26,13,10,16,19,7,39,10,38,13,17,19,65,22,67,14,86,16,42,12,40,13,56,3,39,3,25,4,48,0,11,20160908
금천11-1,201608,117900057,18590,호압사입구,0,0,0,0,0,0,0,0,0,0,18,19,8,11,80,47,55,44,36,19,38,33,35,38,40,47,28,25,35,41,34,32,74,150,62,56,38,34,72,49,59,20,54,15,34,49,19,5,20160908
금천11-1,201608,117900053,18596,벽산1단지입구,0,0,0,0,0,0,0,0,0,0,6,0,14,1,113,12,131,14,41,7,34,4,52,9,62,17,18,9,35,18,20,28,39,38,39,21,40,13,43,27,22,24,18,22,7,23,7,8,20160908
금천11-1,201608,117900048,18639,벽산6단지입구,0,0,0,0,0,0,0,0,0,0,30,0,11,31,24,19,20,16,15,9,13,8,7,10,18,12,6,6,13,6,6,9,15,18,24,13,7,8,8,7,7,8,8,8,4,12,2,4,20160908
금천11-1,201608,117900035,18764,동일여고,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,159,16,43,6,13,8,6,5,3,15,21,8,8,7,6,10,3,25,14,14,7,5,2,6,6,2,7,2,0,5,3,1,0,20160908
금천11-1,201608,117900032,18786,제일교회,0,0,0,0,0,0,0,0,0,0,1,2,5,6,11,5,10,16,8,15,12,16,24,20,22,13,14,15,9,15,12,10,31,20,30,29,11,14,15,23,11,18,18,14,12,8,2,4,20160908
금천11-1,201608,117900188,18979,관악우방아파트,0,0,0,0,0,0,0,0,0,0,14,4,27,3,111,8,135,6,64,18,102,13,65,7,97,15,62,10,63,20,112,19,109,26,105,29,99,18,87,17,96,14,132,23,96,7,38,5,20160908
금천11-1,201608,117900187,18980,차오름길입구,0,0,0,0,0,0,0,0,0,0,2,0,29,1,33,10,29,22,24,24,11,17,10,8,12,4,0,5,9,8,12,13,11,22,11,1,9,12,5,2,9,12,7,7,4,4,1,1,20160908
금천11-1,201608,117900186,18981,시흥계곡앞,0,0,0,0,0,0,0,0,0,0,10,1,74,3,53,6,67,4,61,6,61,20,18,13,55,16,44,15,53,21,68,22,23,26,18,16,21,23,16,10,15,12,23,12,16,18,6,17,20160908
금천11-1,201608,117900185,18982,영일빌라,0,0,0,0,0,0,0,0,0,0,2,1,13,4,25,13,34,14,66,10,50,43,15,39,19,20,9,23,17,21,29,31,19,29,17,15,14,32,17,31,15,40,24,35,8,35,6,18,20160908
금천11-1,201608,117900195,18983,금천문화원.국립전통예술중고,0,0,0,0,0,0,0,0,0,0,0,1,14,17,3,109,11,264,10,51,18,64,11,41,14,50,12,49,19,62,50,54,20,56,15,41,12,46,2,32,4,33,2,32,2,30,2,6,20160908
금천11-1,201608,117900184,18984,금천고등학교,0,0,0,0,0,0,0,0,0,0,8,0,6,6,10,37,31,72,6,58,21,46,10,28,9,16,18,33,26,29,43,39,28,27,8,21,6,54,4,25,7,27,11,36,0,30,0,7,20160908
금천11-1,201608,117900178,18967,금천폭포공원,0,0,0,0,0,0,0,0,0,0,0,0,6,3,77,5,71,46,33,26,85,34,49,23,76,12,101,24,141,27,106,19,94,43,64,31,62,26,90,31,101,28,90,26,23,3,28,13,20160908
금천11-1,201608,117900177,18968,영일빌라,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60,5,63,15,17,10,38,24,14,9,18,16,10,26,26,15,12,26,13,30,18,33,14,38,12,57,14,55,3,59,3,23,4,42,20160908
금천11-1,201608,117900176,18969,시흥계곡앞,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,3,25,27,9,7,19,38,23,11,12,17,36,40,21,34,16,43,13,33,20,31,7,57,6,72,6,40,2,82,0,30,9,46,20160908
금천11-1,201608,117900175,18970,차오름길입구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,12,2,6,15,13,2,17,19,15,8,32,4,20,7,24,7,25,10,35,3,18,1,48,0,29,3,24,0,13,3,28,20160908
