노선번호,"?""사용년월""",표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
동작13-1,201604,119000074,20167,봉현초등학교,0,3,0,0,0,0,0,0,0,0,13,0,15,7,32,18,59,31,43,34,54,12,49,19,45,4,58,18,66,16,51,6,81,9,88,7,158,40,104,39,103,68,90,40,142,61,87,47,20160508
동작13-1,201604,120000134,21236,봉현초등학교,0,0,0,0,0,0,0,0,0,0,27,1,39,2,155,2,105,3,29,1,33,2,32,1,40,0,45,3,64,1,69,2,63,6,60,8,102,7,53,4,49,3,61,6,38,4,23,4,20160508
동작13-1,201604,119900142,20846,건영아파트,0,0,0,0,0,0,0,0,0,0,2,0,13,3,19,25,24,67,18,14,28,12,16,18,19,21,11,24,7,24,10,20,6,22,26,28,8,16,7,17,10,17,8,11,15,15,5,3,20160508
동작13-1,201604,119900168,20809,우성아파트,0,0,0,0,0,0,0,0,0,0,28,0,76,11,222,24,253,55,127,40,88,50,103,37,67,33,103,55,83,31,73,29,61,28,96,50,66,28,60,26,53,35,27,15,41,15,8,6,20160508
동작13-1,201604,119900162,20819,강남교회.오거리,0,0,0,0,0,0,0,0,0,0,7,19,107,88,185,88,170,146,128,140,81,82,100,88,84,92,104,113,96,105,61,76,60,59,86,105,98,106,68,63,74,104,45,59,45,52,23,14,20160508
동작13-1,201604,119900226,20942,노량진한국법학교육원,0,0,0,0,0,0,0,0,0,0,6,16,9,201,20,359,21,461,15,318,9,216,34,280,24,190,42,236,51,226,22,194,17,226,39,255,50,284,37,127,46,143,25,84,37,82,14,28,20160508
동작13-1,201604,119900149,20837,노량진역,0,0,0,0,0,0,0,0,0,0,0,104,13,428,11,1191,69,1619,40,901,23,550,21,625,26,475,58,594,73,521,48,327,76,392,100,407,129,495,83,234,83,238,66,134,61,107,25,52,20160508
동작13-1,201604,119000010,20010,노량진수산시장.CTS기독교TV,0,0,0,0,0,0,0,0,0,0,3,37,5,103,30,126,49,184,29,138,22,110,25,125,40,113,33,138,56,120,37,90,34,110,41,179,89,134,49,65,53,77,65,57,104,56,37,24,20160508
동작13-1,201604,120000137,21239,관악드림타운115동,0,0,0,0,0,0,0,0,0,0,8,4,126,3,227,10,306,1,113,2,96,4,92,4,73,7,79,7,68,6,85,10,70,14,57,22,46,20,54,10,41,14,24,10,24,7,6,4,20160508
동작13-1,201604,120000139,21241,관악드림타운북문,0,0,0,0,0,0,0,0,0,0,26,3,51,0,282,31,124,12,164,5,84,3,73,4,80,4,66,2,42,7,79,7,103,8,90,22,76,13,51,5,34,6,27,10,18,6,8,5,20160508
