구 이름,0 ~ 1시,1 ~ 2시,2 ~ 3시,3 ~ 4시,4 ~ 5시,5 ~ 6시,6 ~ 7시,7 ~ 8시,8 ~ 9시,9 ~ 10시,10 ~ 11시,11 ~ 12시,12 ~ 13시,13 ~ 14시,14 ~ 15시,15 ~ 16시,16 ~ 17시,17 ~ 18시,18 ~ 19시,19 ~ 20시,20 ~ 21시,21 ~ 22시,22 ~ 23시,23 ~ 24시
Dobong-gu,764,213,81,0,3219,5800,9512,19997,22760,18182,14649,13491,13933,14926,14716,15557,17297,18584,19664,17285,14385,13282,11290,4886
Dongdaemun-gu,4296,531,558,238,6370,19127,28761,50264,66873,54378,44416,41855,44089,46901,47205,47699,52581,56655,63244,59602,46152,42967,38872,19355
Dongjak-gu,5896,2049,1390,303,2661,12180,23229,39472,49221,40551,34083,32529,34326,36532,36314,37276,42047,45389,52767,48028,38694,38465,39865,17166
Eunpyeong-gu,3558,1058,169,192,2266,5233,11727,21427,26088,22102,18530,17281,18291,19117,18513,21031,23944,25183,26182,22111,18515,18220,17462,8125
Gangbuk-gu,1430,218,61,651,6544,16789,20918,26249,28548,23154,20305,19933,20273,21571,22407,23801,25603,26906,27471,26456,23654,21676,18329,8171
Gangdong-gu,2861,1226,779,435,3299,6418,12413,25810,28445,22125,18677,17196,18487,19916,19351,20478,23825,25956,28805,24329,21338,20473,19551,9488
Gangnam-gu,9894,1959,1321,1342,4573,17275,30225,55264,81647,66723,51661,47236,50991,56386,56529,58765,66456,69825,78816,78127,60992,60276,60365,31872
Gangseo-gu,2598,313,165,76,4746,7343,13407,27994,36067,27008,22634,22316,24009,25324,25105,26896,29819,31835,36780,33176,27270,26034,22675,10877
Geumcheon-gu,1717,243,105,136,3896,8808,13011,28585,32590,21553,16672,15730,16692,17264,16753,17676,20551,23199,27775,25211,19269,18820,16580,5573
Guro-gu,2144,248,139,141,5977,8635,11914,26721,30438,22090,18471,18729,20253,21125,21466,22741,25906,28226,31688,27267,22028,22012,18015,7852
Gwanak-gu,2113,574,503,580,7781,17260,27319,50864,67939,55758,43532,38628,39754,41507,40284,41632,46582,49837,55510,52937,43944,42208,38958,15741
Gwangjin-gu,4016,1292,1422,658,3824,10581,19754,30086,37884,32064,25368,23786,24528,26266,26773,28107,31736,34467,39891,38927,32550,31672,27102,14966
Jongno-gu,4227,884,542,804,4473,16614,22577,38737,48246,42863,37164,36165,38364,41074,42023,43456,48338,50111,55844,49293,39808,40628,38066,18804
Jung-gu,2492,1232,607,485,1262,8920,11456,16081,22782,19715,18216,17779,19294,21861,23086,23081,24721,26221,28794,29190,23021,22218,21644,11816
Jungnang-gu,3688,2055,563,519,6430,12540,23644,45355,54329,40226,33390,32040,34082,36161,35723,38149,43514,45658,48239,45202,35901,35006,28865,14837
Mapo-gu,1903,92,91,122,2199,7682,14418,27711,41791,31921,26256,24818,27063,29803,30122,30856,33734,36059,40944,39115,29831,28753,29445,14300
Nowon-gu,3731,2138,769,249,6036,15508,25988,51283,54326,45828,39055,39508,43092,45257,44673,47784,54420,56289,57145,50298,42511,41230,41470,16913
Seocho-gu,12279,3214,2672,1387,3623,12944,20783,41321,59474,43911,34671,31871,33765,37153,38091,39083,44755,45397,53704,49059,40126,40017,41145,21207
Seodaemun-gu,2980,977,283,283,2030,7540,15230,27539,34553,27792,23494,21472,23208,24347,24519,25359,28304,30386,33213,28843,23406,23235,23243,10191
Seongbuk-gu,4732,1183,240,536,8199,18229,27871,48010,53108,43480,37267,36176,38317,40580,39944,42044,47270,49420,51987,47953,40932,39596,37110,19797
Seongdong-gu,1903,351,477,221,2916,11436,15603,25303,30753,24305,19803,18885,19839,20880,21152,22233,23876,25794,27323,25897,21450,20501,17537,9625
Songpa-gu,6562,770,1330,338,6341,14179,23077,45297,63082,49276,38696,35165,37138,40111,38900,41489,47443,50748,58322,52944,43258,42617,41223,22566
Yangcheon-gu,2104,192,232,82,4388,7371,12850,26311,28412,21193,18002,17663,18813,20249,19372,20774,23824,25949,29051,25517,20890,20157,17955,8341
Yeongdeungpo-gu,5054,714,933,246,7199,14698,21406,40148,49381,36414,32372,31453,34010,36558,36456,38655,42609,46004,56170,49638,38485,38532,35704,16339
Yongsan-gu,2970,2712,698,350,711,4976,8949,20887,25768,19599,17787,18204,19761,22004,22256,22565,24717,26608,30251,26165,20363,21014,19399,7986
