,Geumcheon-gu,Guro-gu,Gwanak-gu,Seocho-gu,Dongjak-gu,Nowon-gu,Mapo-gu,Seodaemun-gu,Gangseo-gu,Yangcheon-gu,Yeongdeungpo-gu,Seongbuk-gu,Gangbuk-gu,Songpa-gu,Eunpyeong-gu,Gangnam-gu,Gangdong-gu,Jungnang-gu,Jongno-gu,Dongdaemun-gu,Gwangjin-gu,Seongdong-gu,Yongsan-gu,Jung-gu,Dobong-gu,
Geumcheon-gu,0,508,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guro-gu,1215,0,0,0,0,0,0,0,0,612,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gwanak-gu,351,71,0,369,1357,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seocho-gu,0,0,0,0,1367,0,0,0,0,0,0,0,0,0,0,1921,0,0,0,0,0,0,233,0,0,
Dongjak-gu,0,0,1859,676,0,0,0,0,0,0,2072,0,0,0,0,0,0,0,0,0,0,0,439,0,0,
Nowon-gu,0,0,0,0,0,0,0,0,0,0,0,470,45,0,0,0,0,615,0,0,0,0,0,0,710,
Mapo-gu,0,0,0,0,0,0,0,1450,181,0,572,0,0,0,110,0,0,0,0,0,0,0,237,204,0,
Seodaemun-gu,0,0,0,0,0,0,1776,0,0,0,0,0,0,0,1187,0,0,0,844,0,0,0,0,225,0,
Gangseo-gu,0,0,0,0,0,0,157,0,0,3036,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yangcheon-gu,0,579,0,0,0,0,0,0,2570,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeongdeungpo-gu,0,1103,0,0,1821,0,601,0,595,422,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,
Seongbuk-gu,0,0,0,0,0,254,0,0,0,0,0,0,1302,0,0,0,0,97,985,1100,0,0,0,0,0,
Gangbuk-gu,0,0,0,0,0,37,0,0,0,0,0,1111,0,0,0,0,0,0,0,0,0,0,0,0,801,
Songpa-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,560,0,0,0,690,0,0,0,0,
Eunpyeong-gu,0,0,0,0,0,0,88,941,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,
Gangnam-gu,0,0,0,1629,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,538,573,311,0,0,
Gangdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,303,0,0,0,0,
Jungnang-gu,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,375,0,0,0,0,
Jongno-gu,0,0,0,0,0,0,0,1300,0,0,0,1344,0,0,389,0,0,0,0,1189,0,0,0,1465,0,
Dongdaemun-gu,0,0,0,0,0,0,0,0,0,0,0,1524,0,0,0,0,0,1387,694,0,44,2752,0,0,0,
Gwangjin-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,328,516,0,754,0,892,0,0,0,
Seongdong-gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,1878,1570,0,0,581,0,
Yongsan-gu,0,0,0,506,496,0,123,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,1239,0,
Jung-gu,0,0,0,0,0,0,148,345,0,0,0,0,0,0,0,0,0,0,1703,0,0,744,1240,0,0,
Dobong-gu,0,0,0,0,0,668,0,0,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,
