기간,자치구별,12세이상 인구,통근통학 안함,계,현재살고 있는 동,같은 자치구 내 다른 동 ,같은 시내 다른 자치구,다른 시·도
2015,합계,"8,613,785","2,864,276","5,749,509","2,174,764","404,422","2,437,802","732,521"
2015,종로구,"136,954","45,668","91,286","42,875","7,854","33,821","6,736"
2015,중구,"109,428","37,965","71,463","34,444","6,307","25,847","4,865"
2015,용산구,"192,970","66,719","126,251","49,195","8,204","55,996","12,856"
2015,성동구,"257,235","83,441","173,794","63,614","10,311","83,364","16,505"
2015,광진구,"320,108","97,368","222,740","82,624","12,768","104,367","22,981"
2015,동대문구,"318,474","109,094","209,380","87,380","14,662","89,426","17,912"
2015,중랑구,"358,990","121,791","237,199","88,317","13,632","107,009","28,241"
2015,성북구,"400,299","134,751","265,548","97,574","18,251",127197,22526
2015,강북구,286164,106223,179941,62896,9894,90978,16173
2015,도봉구,303763,109039,194724,70962,7436,93521,22805
2015,노원구,497798,169539,328259,127948,20989,139982,39340
2015,은평구,423168,148501,274667,94103,18826,125196,36542
2015,서대문구,273279,91264,182015,70164,11365,82293,18193
2015,마포구,332136,107165,224971,80237,21632,99257,23845
2015,양천구,408367,129469,278898,104361,12844,118158,43535
2015,강서구,500695,168257,332438,122798,26677,132489,50474
2015,구로구,362217,121315,240902,89095,13338,92178,46291
2015,금천구,206677,67568,139109,55999,11209,44575,27326
2015,영등포구,324407,107012,217395,79989,18951,88303,30152
2015,동작구,355046,116736,238310,82161,10945,115079,30125
2015,관악구,456097,147608,308489,108846,16958,146128,36557
2015,서초구,364474,116846,247628,95460,16500,98404,37264
2015,강남구,478963,155756,323207,135349,39186,104421,44251
2015,송파구,555063,177913,377150,147008,34406,138756,56980
2015,강동구,391013,127268,263745,101365,21277,101057,40046
