순위,회사명,15년 매출액,14년 매출액,증감율(%),기업형태,위치
1,삼성전자(주),"135,205,045","137,825,547",-2,유가,경기도 수원시
2,한국전력공사,"58,540,389","57,334,440",2,유가,전라남도 나주시
3,현대자동차㈜,"44,439,694","43,045,875",3,유가,서울 서초구
4,기아자동차(주),"32,699,936","29,850,115",10,유가,서울 서초구
5,LG전자㈜,"28,368,428","29,556,368",-4,유가,서울 영등포구
6,SK에너지㈜,"27,806,930","41,326,470",-33,외감,서울 종로구
7,삼성생명보험(주),"27,013,632","26,885,750",0,유가,서울 서초구
8,GS칼텍스㈜,"26,873,822","38,246,454",-30,외감,서울 강남구
9,삼성디스플레이(주),"26,397,111","24,980,628",6,외감,경기도 용인시
10,엘지디스플레이(주),"25,856,426","25,383,670",2,유가,서울 영등포구
11,(주)포스코,"25,607,221","29,218,854",-12,유가,경상북도 포항시
12,한국가스공사,"25,481,993","36,733,401",-31,유가,대구광역시 동구
13,현대중공업㈜,"24,472,344","23,463,461",4,유가,울산광역시 동구
14,한국토지주택공사,"23,631,360","21,122,139",12,외감,경상남도 진주시
15,삼성화재해상보험㈜,"21,386,421","20,675,276",3,유가,서울 서초구
16,현대모비스㈜,"19,079,257","18,451,687",3,유가,서울 강남구
17,에스케이하이닉스㈜,"18,780,792","16,893,716",11,유가,경기도 이천시
18,에스케이네트웍스㈜,"18,681,721","20,460,418",-9,유가,경기도 수원시
19,S-OIL㈜,"17,890,272","28,557,562",-37,유가,서울 마포구
20,(주)LG화학,"17,334,109","19,675,975",-12,유가,서울 영등포구
21,(주)케이티,"16,942,357","17,435,803",-3,유가,경기도 성남시
22,(주)포스코대우,"16,881,040","19,938,097",-15,유가,인천광역시 연수구
23,롯데쇼핑㈜,"16,177,332","16,111,643",0,유가,서울 중구
24,한화생명보험(주),"15,774,046","14,253,224",11,유가,서울 영등포구
25,현대해상화재보험(주),"14,516,543","13,291,828",9,유가,서울 종로구
26,현대제철(주),"14,479,378","16,032,933",-10,유가,인천광역시 동구
27,동부화재해상보험(주),"13,690,361","12,500,524",10,유가,서울 강남구
28,대우조선해양㈜,"13,366,373","13,842,320",-3,유가,서울 중구
29,농협생명보험(주),"12,874,000","12,413,614",4,외감,서울 서대문구
30,에스케이텔레콤(주),"12,556,979","13,012,644",-4,유가,서울 중구
31,교보생명보험(주),"12,511,421","12,302,555",2,외감,서울 종로구
32,현대오일뱅크㈜,"12,106,787","18,257,993",-34,외감,충청남도 서산시
33,한국지엠(주),"11,937,154","12,918,197",-8,외감,인천광역시 부평구
34,현대글로비스(주),"11,811,512","11,166,759",6,유가,서울 강남구
35,(주)대한항공,"11,308,423","11,680,398",-3,유가,서울 강서구
36,(주)이마트,"11,148,886","10,838,213",3,유가,서울 성동구
37,(주)KB손해보험,"11,003,412","10,704,551",3,유가,서울 강남구
38,(주)엘지유플러스,"10,780,359","10,984,928",-2,유가,서울 용산구
39,현대건설㈜,"10,660,446","10,755,778",-1,유가,서울 종로구
40,한국수력원자력㈜,"10,642,352","9,379,564",13,외감,경상북도 경주시
41,SK종합화학㈜,"10,580,181","15,474,328",-32,외감,울산광역시 남구
42,(주)대우건설,"9,877,475","9,853,092",0,유가,서울 종로구
43,삼성중공업(주),"9,332,927","12,584,243",-26,유가,경기도 성남시
44,지에스건설(주),"9,069,843","8,353,332",9,유가,서울 종로구
45,삼성물산(주),"8,885,125","3,312,659",168,유가,서울 송파구
46,에스케이건설(주),"8,722,582","8,477,334",3,외감,서울 종로구
47,한국도로공사,"8,562,454","7,616,472",12,외감,경상북도 김천시
48,롯데케미칼㈜,"8,471,946","11,194,207",-24,유가,서울 송파구
49,코리안리재보험㈜,"8,406,476","7,954,896",6,유가,서울 종로구
50,한화토탈㈜,"8,275,699","8,804,218",-6,외감,충청남도 서산시
51,대림산업㈜,"8,135,325","7,845,394",4,유가,서울 종로구
52,(주)효성,"8,033,110","8,532,153",-6,유가,서울 마포구
53,현대위아(주),"7,743,358","6,816,996",14,유가,경상남도 창원시
54,(주)한진해운,"7,669,598","8,438,459",-9,유가,
55,홈플러스㈜,"7,052,579","7,325,482",-4,외감,서울 강서구
56,메리츠화재해상보험(주),"6,748,219","6,024,615",12,유가,서울 강남구
57,삼성SDI(주),"6,680,136","4,720,208",42,유가,경기도 용인시
58,엘에스니꼬동제련(주),"6,573,527","6,866,393",-4,외감,울산광역시 울주군
59,(주)포스코건설,"6,536,879","7,514,710",-13,외감,경상북도 포항시
60,SK인천석유화학(주),"6,196,104","7,863,345",-21,외감,인천광역시
61,(주)GS리테일,"6,189,348","4,958,374",25,유가,서울 강남구
62,현대엔지니어링㈜,"6,181,216","5,283,429",17,외감,서울 종로구
63,흥국생명보험(주),"5,826,667","4,485,801",30,외감,서울 종로구
64,한화손해보험(주),"5,742,740","5,313,262",8,유가,서울 영등포구
65,엘지이노텍㈜,"5,691,346","5,840,223",-3,유가,서울 중구
66,현대상선(주),"5,509,307","6,271,630",-12,유가,서울 종로구
