기간,구분,단지수,동수,세대수,전용면적별 세대수,전용면적별 세대수,전용면적별 세대수,전용면적별 세대수,전용면적별 세대수,전용면적별 세대수
기간,구분,단지수,동수,세대수,40㎡ 이하,40~60㎡ 이하,60~85㎡ 이하,85~102㎡ 이하,102~135㎡ 이하,135㎡ 초과
2016,합계,"4,256","19,959","1,518,611","99,921","263,689","513,743","224,226","292,699","124,333"
2016,종로구,60,246,"11,171",8,955,966,"2,446","4,171","2,625"
2016,중구,61,208,"21,160","5,479","1,485","2,144","7,512","2,876","1,664"
2016,용산구,112,453,"30,636",813,"2,402","8,349","6,734","6,743","5,595"
2016,성동구,125,702,"53,487",-,"16,448","25,767","1,358","8,583","1,331"
2016,광진구,104,351,"27,216",5,"6,078","15,855",535,"2,186","2,557"
2016,동대문구,151,648,"52,145","1,231","2,281","12,457","10,972",17965,7239
2016,중랑구,152,595,47145,2902,7540,13934,15426,5830,1513
2016,성북구,161,996,69201,477,6988,28613,8399,19461,5263
2016,강북구,91,463,32392,662,7060,6913,5211,9672,2874
2016,도봉구,148,761,63908,3559,20066,32759,2403,4402,719
2016,노원구,262,1567,159853,23086,29341,63918,33708,9471,329
2016,은평구,185,803,44975,2177,4014,9281,12326,12963,4214
2016,서대문구,113,577,39319,1923,10655,18606,586,6774,775
2016,마포구,190,819,63137,1236,6271,4908,21012,20145,9565
2016,양천구,260,1088,80552,583,10256,11592,23261,27317,7543
2016,강서구,315,1258,94875,22723,26142,26104,9504,6870,3532
2016,구로구,225,1048,66730,680,16058,31672,4898,11412,2010
2016,금천구,110,380,28723,3732,9727,11093,1521,2650,-
2016,영등포구,180,700,60532,622,2931,12840,8845,24144,11150
2016,동작구,160,708,55565,2359,3260,14474,12669,13120,9683
2016,관악구,145,621,48925,8645,12937,19699,1821,5467,356
2016,서초구,250,1126,84238,1776,10430,33675,9813,16507,12037
2016,강남구,271,1595,122753,11364,30209,42593,7074,15997,15516
2016,송파구,182,1269,102204,3275,13905,47331,7024,17838,12831
2016,강동구,243,977,57769,604,6250,18200,9168,20135,3412
,,,,,,,,,,
