기간,자치구,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),구간이동,구간이동,구간이동,구간이동,구간이동,구간이동,전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),전입(②),전입(②),전입(②),전출(③),전출(③),전출(③),전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,소계,남자,여자,소계,남자,여자,소계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2016.01,서울특별시,"113,095","55,186","57,909","119,949","59,503","60,446","31,903","15,427","16,476","41,674","20,483","21,191","41,674","20,483","21,191","39,518","19,276","20,242","46,372","23,593","22,779","-6,854","-4,317","-2,537"
2016.01,종로구,"1,853",929,924,"2,008","1,017",991,282,144,138,874,424,450,989,493,496,697,361,336,737,380,357,-155,-88,-67
2016.01,중구,"1,479",758,721,"1,646",846,800,232,116,116,730,379,351,841,428,413,517,263,254,573,302,271,-167,-88,-79
2016.01,용산구,2567,1243,1324,2906,1434,1472,484,253,231,1092,534,558,1231,598,633,991,456,535,1191,583,608,-339,-191,-148
2016.01,성동구,2980,1497,1483,3182,1649,1533,562,288,274,1375,669,706,1477,754,723,1043,540,503,1143,607,536,-202,-152,-50
2016.01,광진구,3932,1838,2094,4290,2132,2158,993,470,523,1484,698,786,1618,796,822,1455,670,785,1679,866,813,-358,-294,-64
2016.01,동대문구,3664,1909,1755,3902,2021,1881,925,478,447,1429,743,686,1484,736,748,1310,688,622,1493,807,686,-238,-112,-126
2016.01,중랑구,3976,1971,2005,4112,2012,2100,1340,655,685,1411,709,702,1158,567,591,1225,607,618,1614,790,824,-136,-41,-95
2016.01,성북구,4288,2051,2237,4788,2378,2410,1152,568,584,1625,791,834,2003,993,1010,1511,692,819,1633,817,816,-500,-327,-173
2016.01,강북구,2920,1446,1474,3288,1640,1648,985,464,521,1132,567,565,1299,628,671,803,415,388,1004,548,456,-368,-194,-174
2016.01,도봉구,3091,1491,1600,3302,1595,1707,961,453,508,1199,568,631,1102,508,594,931,470,461,1239,634,605,-211,-104,-107
2016.01,노원구,5374,2566,2808,6284,3065,3219,1824,848,976,1844,883,961,1898,913,985,1706,835,871,2562,1304,1258,-910,-499,-411
2016.01,은평구,5440,2610,2830,5868,2862,3006,2306,1091,1215,1565,770,795,1500,731,769,1569,749,820,2062,1040,1022,-428,-252,-176
2016.01,서대문구,4992,2420,2572,3826,1864,1962,1013,473,540,2258,1103,1155,1416,693,723,1721,844,877,1397,698,699,1166,556,610
2016.01,마포구,4622,2137,2485,5146,2478,2668,1098,511,587,1850,855,995,2256,1107,1149,1674,771,903,1792,860,932,-524,-341,-183
2016.01,양천구,4659,2338,2321,5082,2502,2580,1375,675,700,1804,916,888,1941,935,1006,1480,747,733,1766,892,874,-423,-164,-259
2016.01,강서구,6786,3253,3533,6364,3166,3198,2183,1050,1133,2349,1132,1217,1713,848,865,2254,1071,1183,2468,1268,1200,422,87,335
2016.01,구로구,4011,1946,2065,4340,2190,2150,888,441,447,1442,701,741,1411,718,693,1681,804,877,2041,1031,1010,-329,-244,-85
2016.01,금천구,2345,1211,1134,2565,1369,1196,591,298,293,679,367,312,733,408,325,1075,546,529,1241,663,578,-220,-158,-62
2016.01,영등포구,5317,2703,2614,5453,2763,2690,1328,706,622,2034,989,1045,2072,1021,1051,1955,1008,947,2053,1036,1017,-136,-60,-76
