기간,자치구,세대,계,남자,여자
2016,종로구,72118,161922,79322,82600
2016,중구,59651,134409,66452,67957
2016,용산구,106607,245102,119636,125466
2016,성동구,128727,307161,152006,155155
2016,광진구,158390,372104,181251,190853
2016,동대문구,159426,370312,183444,186868
2016,중랑구,177400,415677,206772,208905
2016,성북구,188304,461617,224504,237113
2016,강북구,141229,330704,162211,168493
2016,도봉구,136898,350272,172006,178266
2016,노원구,219736,571212,277866,293346
2016,은평구,201891,495937,241048,254889
2016,서대문구,136766,325871,156597,169274
2016,마포구,169432,390887,186668,204219
2016,양천구,177434,481845,238163,243682
2016,강서구,245045,602104,293734,308370
2016,구로구,172220,449600,225411,224189
2016,금천구,104483,254654,130429,124225
2016,영등포구,165729,406779,204712,202067
2016,동작구,172506,413247,201842,211405
2016,관악구,251955,525607,265034,260573
2016,서초구,173970,451477,216886,234591
2016,강남구,234080,572140,274217,297923
2016,송파구,258382,664946,324087,340859
2016,강동구,177460,448471,223081,225390
