기간,자치구,합계,합계,합계,합계,승용차,승용차,승용차,승용차,승합차,승합차,승합차,승합차,화물차,화물차,화물차,화물차,특수차,특수차,특수차,특수차,이륜차,이륜차,이륜차
기간,자치구,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용
2016.01,서울시,"3,063,247","11,140","2,856,048","196,059","2,567,306","4,070","2,444,940","118,296","141,558","3,026","121,467","17,065","347,585","3,695","287,767","56,123","6,798",349,"1,874","4,575","452,718","4,740","447,978"
2016.01,종로구,"50,039","3,686","44,766","1,587","39,773","1,866","37,462",445,"4,154","1,365","2,451",338,"5,931",372,"4,828",731,181,83,25,73,"13,579",326,"13,253"
2016.01,중구,"52,885",992,"47,658","4,235","41,582",245,"39,137","2,200","3,765",545,"2,854",366,"7,374",186,"5,611",1577,164,16,56,92,14685,253,14432
2016.01,용산구,76260,344,73874,2042,65457,135,64245,1077,3096,50,2997,49,7576,146,6554,876,131,13,78,40,16535,225,16310
2016.01,성동구,96074,263,87835,7976,80495,77,74717,5701,4075,33,3489,553,11333,144,9574,1615,171,9,55,107,20208,120,20088
2016.01,광진구,96380,264,90772,5344,79748,67,76926,2755,4594,41,3892,661,11775,149,9939,1687,263,7,15,241,18765,194,18571
2016.01,동대문구,96830,265,90717,5848,77916,79,74817,3020,4836,52,4490,294,13876,123,11375,2378,202,11,35,156,24196,244,23952
2016.01,중랑구,110463,186,100829,9448,88485,41,82483,5961,5854,31,5304,519,15803,98,12985,2720,321,16,57,248,24524,99,24425
2016.01,성북구,116802,218,111099,5485,98576,63,95887,2626,6357,29,5220,1108,11759,116,9966,1677,110,10,26,74,26352,164,26188
2016.01,강북구,75829,279,70702,4848,61523,85,58679,2759,4716,47,3894,775,9466,129,8095,1242,124,18,34,72,21846,74,21772
2016.01,도봉구,96228,231,88249,7748,80337,58,74846,5433,4642,41,4156,445,11062,126,9207,1729,187,6,40,141,14789,158,14631
2016.01,노원구,154866,250,144851,9765,133329,53,126662,6614,7012,46,6113,853,14247,143,12026,2078,278,8,50,220,15268,96,15172
2016.01,은평구,126779,220,119607,6952,106082,63,101936,4083,6431,35,5609,787,14054,114,12023,1917,212,8,39,165,21176,143,21033
2016.01,서대문구,82935,408,77517,5010,69907,162,67033,2712,4013,74,3547,392,8882,160,6907,1815,133,12,30,91,14831,168,14663
