구이름,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
은평구,97,550,1,1,0,0,0,0,0,0,1028,320,2132,1162,6874,2196,6377,4524,3991,3550,3560,2798,3307,2597,3595,2910,3536,3170,3771,3290,3780,3118,4075,4062,4961,4714,5439,6287,3616,5389,2568,3602,2266,3118,1967,3770,1189,2273
송파구,460,2944,4,110,1,1,0,0,24,1,2645,1401,8101,13982,21106,26558,29202,36510,22558,23563,16916,18088,16830,19006,17818,28351,18972,44379,17733,25726,19727,24125,23867,26987,56417,37060,36443,54689,21235,32248,19382,18065,20342,17155,32525,18101,19231,11603
강남구,4186,5004,0,134,0,0,0,0,216,7,5744,5388,13150,39619,23581,94415,33678,240116,34662,177349,37219,74043,47624,53342,54393,49435,64397,58358,68626,52325,83891,47468,113361,47467,133353,50590,239388,56583,133064,42128,83071,25260,90427,21752,70465,19833,27277,12154
강남구,3798,3326,0,2,0,0,0,0,40,2,4266,6924,9433,31425,15218,102488,24411,287326,23930,208922,24780,85149,32490,59463,39594,49592,48545,58649,52703,50665,63024,46079,77367,42584,114107,47645,237397,54509,123015,39823,72313,23446,76549,19171,56552,16146,22967,11008
강남구,16494,8392,1,9,0,0,0,0,279,11,15048,10901,22954,52713,42042,157448,65589,298141,60079,291170,59315,152739,77305,131499,99360,135820,126033,159042,129763,143314,154535,135998,174258,141664,215703,168221,328418,232530,235897,177698,191850,88789,232516,67494,250350,56258,108829,36476
서초구,1123,1346,1,0,1,1,0,0,7,0,1267,4445,6906,18616,14450,48896,22537,112388,24619,83116,18643,41173,29815,36390,27147,28678,36046,31842,35467,31883,38401,24757,48037,26108,56066,25087,96114,28882,45502,22181,31789,12298,36575,10978,26591,11128,8236,6583
서초구,1705,3836,0,1,0,0,0,0,17,0,3502,3232,10568,12027,28088,26640,39581,71255,29996,53511,23264,34847,25016,26954,27063,28915,30003,30795,31950,29258,34636,28031,39686,31032,45376,35908,70209,42223,37387,36183,28011,23824,29149,22032,23515,23936,10173,14342
동작구,5825,13683,2,808,0,1,0,0,92,5,13068,3785,22900,33592,64313,54175,90013,78220,67202,61858,47642,48838,47006,55425,53308,56410,59607,56435,62470,55290,61423,62848,64596,79711,72257,108831,90301,158877,71261,131732,67122,81040,73622,74041,72110,77886,39530,50007
관악구,1759,10328,0,82,0,0,0,0,90,2,11343,2213,25587,11460,83487,20904,120573,44430,74659,38694,43780,32301,39658,25476,43034,30231,44282,32860,40015,33455,40987,37105,43839,42724,48406,53086,55300,82977,36616,86777,27099,59092,26419,56845,20922,60251,11895,41347
관악구,726,6254,2,179,0,0,0,0,63,5,15918,1960,27762,9193,73096,12663,97537,24172,62176,21449,38414,20496,33292,21459,35430,23355,35862,25840,30952,27995,29644,33767,32330,38743,34298,48503,34178,67687,22482,63210,16639,41657,16105,39768,12517,41793,5524,24456
관악구,4031,27479,2,217,0,0,0,0,324,22,42635,5207,74926,23087,210047,35858,295234,60311,178543,54976,107671,52241,95344,59608,99947,65804,100704,74237,90283,80797,87465,95829,94169,113281,101758,146131,106696,225141,78138,237117,60718,158028,59298,149879,54863,154961,30245,103058
동작구,784,9126,3,7,0,0,0,0,138,4,25366,2110,36191,10504,90622,18316,124083,35021,83081,26639,51532,23731,43945,24099,43035,25925,42940,29244,37635,32671,34527,41015,38611,47918,39493,61629,45407,82830,30674,81845,22222,58207,17258,60434,12854,67096,6381,39637
용산구,4024,7177,1,386,0,0,0,0,1016,44,11613,8604,14100,55016,34340,94155,64458,192207,57758,136080,60922,81070,82973,78413,94403,86690,94055,87491,82133,84410,103181,88990,116248,91334,139120,96548,205844,100377,126606,81036,91724,54014,97020,48494,69613,37698,28446,21744
중구,914,1304,0,6,0,0,0,0,75,3,2174,4019,3665,22965,7173,64046,9546,151639,12419,74821,15545,47169,21466,47798,24361,46449,31532,50744,39838,45123,50531,37713,58421,31244,74809,30245,128186,29502,70543,17979,57178,9078,59049,7612,37544,6217,13880,3676
종로구,3315,1396,2,1,0,0,0,0,95,5,4150,4394,4796,26117,7445,86372,13274,225555,15776,132931,21307,69835,30235,68463,38987,67882,52198,69739,63105,61887,77008,52838,89262,52663,119618,58966,210013,73335,124851,47538,99842,19784,113904,12598,91451,8465,42616,5534
종로구,2509,2643,1,32,0,0,0,0,231,10,5855,2367,4882,11960,7154,25699,12003,75170,16761,85449,25511,77305,38536,86057,52532,87890,66507,89444,75790,82162,87927,67581,96273,56862,103266,53733,118525,56121,90583,36166,66098,15830,68791,11566,57149,9120,26166,6502
종로구,685,1203,0,0,0,0,0,0,71,2,2246,2768,3390,14428,5333,36263,9346,104417,13285,69049,21187,57000,31980,63424,41833,61872,53335,58232,61893,55914,67467,49403,69389,43266,78264,38663,105670,35439,66943,21481,41364,10498,34064,7920,25433,5553,10351,3643
종로구,825,4563,1,43,0,0,0,0,674,8,13237,2169,11066,8245,17800,14177,24028,31940,24663,31032,23178,33810,25019,42001,31574,43414,35585,42681,37617,41826,38378,39219,38196,35371,38757,35427,36410,35165,25683,35162,19685,26275,18293,20120,15332,18133,8526,14848
구로구,516,2370,0,0,0,0,0,0,356,19,8587,2410,9915,7287,19533,25809,26610,62307,22301,37787,20994,25345,23328,23604,25254,23262,28249,24252,26981,23085,29979,23314,32408,22716,40105,27601,58074,28016,28623,23058,18189,16038,16169,15621,12605,14900,5557,10629
용산구,3,232,0,0,0,0,0,0,0,0,908,6,1165,5458,1718,11856,2664,27319,1883,8422,1899,6748,1993,5287,2464,3074,3431,3758,2993,2762,5127,2413,5716,1994,11009,3019,17806,4757,9552,2827,8833,2086,2575,1290,4203,183,2310,1368
마포구,3,120,0,0,0,0,0,0,1,1,191,4,330,1150,427,2345,494,7510,581,2472,510,2508,615,1516,834,1358,1037,1662,1059,994,1433,862,1962,861,2742,1101,3718,1914,1608,1216,1591,572,1563,394,1961,272,856,347
성동구,0,0,0,0,0,0,0,0,2,0,2,4,19,31,26,35,94,292,55,185,26,205,15,242,14,83,21,23,36,20,15,10,307,10,535,37,56,35,456,30,20,9,17,6,40,4,10,0
노원구,208,3691,0,0,0,0,0,0,1477,29,6627,2741,13813,5350,28921,7958,32821,13872,26447,10659,21326,9870,19847,11553,19261,13372,18937,15272,17532,16228,16943,18695,16574,23596,17494,30774,16620,41652,12264,36674,9679,25630,9037,22285,7894,22006,3784,13799
도봉구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
도봉구,137,1860,0,0,0,0,0,0,214,6,6361,693,9875,3205,24537,4681,22998,8684,16546,16995,13550,23278,13790,17598,15723,13262,19765,12126,24130,11656,26528,10450,27918,10472,24556,9971,18811,10960,10830,10153,6193,6405,4365,6338,2645,5846,1150,5010
구로구,193,1813,0,0,0,0,0,0,210,3,4694,1629,8142,4649,21055,10810,21256,15432,14978,11034,11886,7505,12195,7517,13629,8691,12745,8824,11743,9150,12625,10348,15747,12390,15288,14082,13831,19905,7543,20390,5846,12809,6068,11957,4908,11159,2758,7725
성동구,29,521,0,2,0,0,0,0,8,2,869,226,1475,1231,5179,932,7333,1745,3181,1023,2189,1243,1927,1391,2059,1507,2181,1676,1887,1898,1773,2503,2203,3134,2253,3237,1954,6018,1054,5533,657,2945,564,3293,468,2345,195,1757
구로구,125,499,1,88,0,0,0,0,39,0,1054,348,1476,1604,2677,5078,4197,13530,4165,9851,4466,8202,5864,8628,7145,8529,8805,8740,9805,8065,10612,7111,11414,6097,12397,5663,15671,5571,6650,4294,4301,2685,3319,2274,2661,2357,1049,1830
양천구,25,292,2,4,0,0,0,0,0,0,296,302,1059,790,2415,4750,2438,5045,1622,1419,1275,1152,1088,970,1408,1222,1344,1049,1509,1148,1913,1101,2658,1281,2058,1559,2793,2103,1385,2176,934,1406,856,1188,434,1135,152,888
양천구,115,3135,0,42,0,0,0,0,40,0,4636,1215,10316,2256,27610,5654,26133,9261,17613,6838,12432,5256,11449,5318,13363,6745,10327,8201,9025,8910,8082,10476,8835,12636,9710,15922,8777,22119,4490,22842,3233,14699,2739,13901,2526,13342,883,10448
동대문구,274,2992,2,197,0,0,0,0,38,0,8797,1120,13281,3154,40311,5039,37902,10557,24727,7957,17407,6869,15941,8339,15863,9277,14861,11336,12794,12306,11699,15834,12577,19523,12910,25612,12325,34741,7977,33960,5886,20933,5036,18802,3931,18469,2042,12731
동대문구,14,60,0,0,0,0,0,0,0,0,238,131,1593,997,4776,1446,4827,2507,3363,1985,2366,1771,2180,1696,2302,1647,2153,1752,2138,1869,2322,2469,2505,2857,2780,3278,2199,4282,846,3976,419,2976,283,2161,159,1721,70,952
은평구,424,6294,0,412,0,0,0,0,84,4,8280,1683,26938,11759,77212,17706,72077,29106,41722,31230,30414,27599,27433,23665,28297,24259,29167,24642,27973,24469,30737,26446,37553,32140,38782,37304,34364,53062,22774,54038,16813,33324,15382,29823,12942,29406,3703,22132
은평구,1745,15669,1,3,0,0,0,0,266,7,27445,1753,51741,13095,140714,28253,163449,38542,98591,41047,70878,38684,66536,38207,72097,43628,68988,49698,61382,53093,61901,62123,70649,77619,66755,92194,61174,133167,44116,134361,33806,87444,31013,79732,27237,76182,13553,52364
은평구,629,5432,0,1,0,0,0,0,23,2,10024,1244,20875,7414,56863,11316,66542,32994,40270,40774,30533,35010,29222,29808,30653,31449,33139,34929,32522,34480,33428,35953,36859,41363,36490,45678,37246,61766,22919,57307,17677,35696,15942,32113,11924,29714,5105,19274
은평구,171,3016,0,0,0,0,0,0,64,4,7467,1186,17313,8722,49712,7241,55024,15502,34075,12351,22792,9463,20292,9175,20749,10561,19173,12359,17670,13137,16187,15765,17782,20544,20064,24429,19443,34872,9840,36548,6837,24111,6050,22007,4373,20394,1821,13594
서대문구,405,4440,0,1,2,2,0,0,45,5,9794,1502,22128,8813,60619,13607,72848,29777,48472,25577,36399,21545,33854,20292,35238,23389,33851,24960,30978,27166,30645,31458,32767,37274,33907,42965,33973,56739,18480,54037,14566,35682,12143,32207,9868,32007,4155,20284
서대문구,84,1300,0,1,0,0,0,0,21,0,2067,181,4863,1807,14641,2962,17982,5309,11101,3977,8359,3808,7238,3907,6980,4239,6753,4874,5857,5759,5451,6861,5544,8524,6176,10191,6339,13332,3501,12960,2490,8847,2114,8557,1591,7928,696,5545
서대문구,195,3458,6,772,0,0,0,0,161,4,5076,595,6364,5245,16310,15398,21316,18956,15438,19197,13455,19596,14788,15299,16931,14442,17467,16483,18152,16710,19618,15665,22533,15208,19605,16553,17939,17627,9127,15934,6432,10561,5150,9623,4001,9227,1334,6306
종로구,959,1073,0,0,0,0,0,0,16,0,1769,1977,3238,17740,6796,89772,10467,104441,11786,84214,14278,75477,23484,76921,34793,70780,44454,66897,55707,64636,68416,51471,85249,41631,99517,35048,135705,31038,66350,17448,46667,8780,45279,6974,28101,6620,8807,3807
종로구,682,846,0,4,0,0,0,0,15,0,652,694,1137,4062,1602,10513,2937,40505,4038,41264,5864,30433,8065,24825,9137,24279,11478,24675,13094,24623,17132,21873,17800,18619,22840,17882,36711,19102,33144,12924,16415,6344,17416,4789,11615,3981,5082,2859
중구,854,449,1,6,0,0,0,0,12,0,598,841,1112,6466,2058,25769,3831,64919,6816,34143,9039,17634,9963,15239,10537,13196,12707,14269,14586,12844,15848,12360,16860,11900,24651,12100,49808,12309,29143,7688,16673,3976,14670,3463,10756,2924,5467,2115
중구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,1,0,1,0,2,0,3,0,5,0,5,0,4,0,3,0,3,0,3,0,1,0,0,0,1,0
중구,702,1100,0,74,0,0,0,0,21,3,1413,1209,3073,9670,5769,16725,8508,69513,7368,36517,8298,38116,11144,33786,15995,27767,19677,27485,20652,24359,23084,17818,27574,17596,37586,19749,52496,21879,27737,12768,21341,6900,30364,6464,18109,5350,6820,3628
중구,846,4974,2,561,0,0,0,0,125,3,6334,1210,10964,5844,27232,15409,40720,34050,28714,21201,21593,16376,20911,15290,22186,15600,23301,17496,21442,18666,20847,19993,22673,24723,25455,28820,32529,38871,21764,31486,16155,20979,15203,19528,11635,19452,5654,12969
성동구,248,2211,0,0,0,0,0,0,58,3,4465,667,9856,3180,26554,4964,36902,7937,25422,6974,16818,6945,15222,7261,13946,8341,13678,10307,12094,10714,11311,13408,11460,16160,12442,19874,12094,27489,8064,23697,6051,16536,5096,15107,3605,15409,1752,9158
동대문구,199,1862,0,1,0,0,0,0,338,2,4753,2316,8686,9075,22435,18216,30733,44602,25336,37869,28310,43402,37216,54565,44217,57860,49484,59571,55563,54278,61773,47640,59869,37176,49141,29245,42724,26392,22220,21311,12675,13360,10729,12204,7711,11192,3311,8364
종로구,247,3445,1,195,0,0,0,0,92,2,3440,974,3681,3659,7108,10268,9099,26077,9679,19077,11186,22305,16175,31768,22844,35483,29791,39852,34537,39216,40438,34344,41692,24770,39083,18516,31816,12087,13485,8845,7779,6391,6515,6546,4594,7116,2282,4824
중구,1676,1461,1,56,0,0,0,0,56,1,1330,1713,2521,17318,5162,66838,7978,166482,11463,71286,16036,31686,22183,29966,23223,29467,28633,33463,33472,31280,40504,27296,45811,24763,67924,23855,138663,24669,68644,15108,46475,8356,44310,7356,29561,6393,12383,4638
