구이름,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
강남구,1980762,2656266,6702,129139,123,1915,20,135,43852,1496,3113912,1916414,6902387,12747037,15585610,35767888,20641996,89576171,16150347,69111816,14839767,32371834,17504710,26210430,20272032,24565186,24158311,27764084,25429567,25490675,29975261,24125734,34132055,24554269,43259167,27336924,75688580,34710799,50461569,28934477,34449721,16169890,35347060,13304617,31843618,12322529,13190769,7917924
강동구,116422,1287937,787,88017,7,966,0,0,1631,16,1792546,290974,4702916,2125878,13994816,3546512,15018655,6450496,7949141,4087921,5600316,3262751,5161043,3171991,5330391,3478546,5184998,3906156,4631947,4172983,4619114,4726909,5081277,5652526,6076280,6860233,6805909,10039546,3974973,10848413,2759538,6703688,2484136,6077694,1887591,6042817,762913,4087418
강북구,80935,415857,450,1977,10,11,0,0,1802,160,806172,139572,2086668,554464,5682251,1179828,6094002,2204254,3694134,1962667,2513814,1508115,2275290,1672536,2343120,1819568,2412246,1927903,2272379,2102082,2280198,2419784,2476612,2836568,2586587,3447814,2692068,4912775,2050618,5095161,1924326,3263944,1322004,2878626,1030102,2840632,521812,1772852
강서구,179801,1784491,1265,52721,42,530,38,0,6340,76,2714277,626041,6171393,3630955,18166307,5170151,19030692,8152164,10446381,5769983,7492201,4694347,7296315,5016035,7652602,5706250,7532703,6122764,7014106,6486855,7254651,7190143,7929808,8502374,9034937,10171367,9979060,14878660,6785783,15307208,5111026,9789802,4460174,8567500,4215208,8489834,1730508,5509835
관악구,435218,2704124,2485,158702,53,2029,2,1,117110,874,3348645,403892,6260877,2000471,18492091,3658970,25033467,7370653,14636574,6476441,8417025,5476695,7516513,5251684,7938810,5731367,8261374,6448618,7341769,6730882,7365453,7790871,7932033,9015361,8919730,11268756,10154176,17597767,7135762,18764188,5619223,12523188,5532065,11976440,4906111,12613409,2657675,8381146
광진구,712814,1809274,4293,99536,38,876,0,0,20337,530,2241035,345332,4217016,2862924,11443515,4686046,16979818,10610901,10713310,7802643,7245174,6702067,7031821,6633216,7467637,7372777,7994808,8286833,7837410,8386433,8328957,8991371,9332510,10042687,10789724,12254532,11891303,17642363,9234794,16384814,8349253,10253625,8463195,9158846,7903362,8794730,4359018,5435197
구로구,593366,3641594,3203,269351,51,1704,0,0,138511,1974,6274566,1023920,10218087,4017613,26766818,10962412,29294373,29990218,17740515,17166227,12238022,10696546,11680764,10285795,12621436,10909805,13095266,11970526,12331558,12030668,12897811,12791190,14252215,14258983,17543634,18153586,27222135,25638536,17538688,25502561,12605186,16390298,11651682,15345386,9299800,15763864,4272895,10538359
금천구,192851,785824,450,3133,6,313,0,0,72082,379,1646931,421168,2885633,1804195,7787904,7180626,8690054,21550125,4897945,10330371,3549547,4112362,3476093,3680372,3801909,3790439,4111750,4064443,3952615,4099323,4318492,4303418,4858566,4752823,8030443,5720080,16718387,8133384,9674366,8117317,6170418,4828581,5860751,4249224,3827306,3950137,1708948,2707618
노원구,362623,2903224,2248,102483,15,793,0,0,84013,1482,3532813,513755,9257014,2537344,24104330,5273559,23521863,9012852,13805902,8032507,10299199,6593650,9467500,6391179,9793280,7223327,9647258,7991494,8780539,8239251,9055555,9242117,9893171,10829098,10207462,13312411,10144352,18731741,7109179,20682251,5938822,13621069,5241035,11801057,5061718,11522716,2277302,8496163
도봉구,115538,1458747,599,49902,15,272,0,0,78244,1106,1771216,198008,4481723,1111006,12056840,1835891,11173543,3395021,6687339,3336112,4777081,3214858,4296806,2843746,4384078,2949257,4270183,3246598,3973961,3522660,4017694,3997932,4273592,4690169,4427684,5698949,4378484,8091190,2891311,9156394,2032604,6388633,1788987,5616820,1438994,5581752,709265,4116746
